평균기온,평균상대습도,월,년도,cloud_amount,sun_amount
-0.7,50,1,2014,1,2
1.9,52,2,2014,2,1
7.9,60,3,2014,1,2
14.0,60,4,2014,2,2
18.9,59,5,2014,1,3
23.1,73,6,2014,3,2
26.1,74,7,2014,3,1
25.2,77,8,2014,3,1
22.1,69,9,2014,2,2
15.6,63,10,2014,1,3
9.0,61,11,2014,2,2
-2.9,56,12,2014,1,2
-0.9,56,1,2015,1,2
1.0,59,2,2015,2,1
6.3,45,3,2015,1,3
13.3,55,4,2015,2,2
18.9,53,5,2015,2,3
23.6,60,6,2015,3,3
25.8,71,7,2015,3,1
26.3,70,8,2015,3,2
22.4,56,9,2015,1,3
15.5,61,10,2015,1,3
8.9,74,11,2015,3,1
1.6,60,12,2015,2,1
-3.2,53,1,2016,2,2
0.2,52,2,2016,1,2
7.0,51,3,2016,1,3
14.1,55,4,2016,2,2
19.6,56,5,2016,2,3
23.6,63,6,2016,3,2
26.2,73,7,2016,3,1
28.0,64,8,2016,2,3
23.1,65,9,2016,3,2
16.1,62,10,2016,3,2
6.8,57,11,2016,2,1
1.2,59,12,2016,2,1
-1.8,55,1,2017,1,2
-0.2,54,2,2017,1,2
6.3,48,3,2017,1,3
13.9,52,4,2017,2,3
19.5,52,5,2017,1,3
23.3,57,6,2017,2,3
26.9,77,7,2017,3,1
25.9,71,8,2017,3,1
22.1,61,9,2017,2,2
16.4,56,10,2017,2,2
5.6,54,11,2017,2,1
-1.9,56,12,2017,1,1
-4.0,48,1,2018,2,2
-1.6,45,2,2018,1,2
8.1,59,3,2018,2,2
13.0,55,4,2018,2,2
18.2,63,5,2018,3,2
23.1,63,6,2018,3,3
27.8,68,7,2018,2,2
28.8,65,8,2018,3,2
21.5,61,9,2018,2,2
13.1,59,10,2018,1,3
7.8,58,11,2018,2,1
-0.6,46,12,2018,1,2
-0.9,46,1,2019,1,2
1.0,47,2,2019,2,2
7.1,51,3,2019,2,2
12.1,51,4,2019,2,2
19.4,47,5,2019,1,3
22.5,61,6,2019,3,2
25.9,69,7,2019,3,1
27.2,69,8,2019,3,3
22.6,65,9,2019,3,1
16.4,62,10,2019,2,3
7.6,56,11,2019,2,2
1.4,58,12,2019,2,1
