월,년도,이용객 수
1,2014,3008543.0
2,2014,2908749.0
3,2014,4563720.0
4,2014,8242222.0
5,2014,6551307.0
6,2014,6084170.0
7,2014,6003831.0
8,2014,6298113.0
9,2014,6414526.0
10,2014,7437783.0
11,2014,4095622.0
12,2014,2876513.0
1,2015,2705168.0
2,2015,2781299.0
3,2015,4314813.0
4,2015,6213826.0
5,2015,7770685.0
6,2015,5371905.0
7,2015,6804488.0
8,2015,13203727.0
9,2015,8161326.0
10,2015,8699644.0
11,2015,1490229.0
12,2015,1074235.0
1,2016,3438959.0
2,2016,3442621.0
3,2016,5115738.0
4,2016,4747476.0
5,2016,7366536.0
6,2016,7848587.0
7,2016,8228965.0
8,2016,9415349.0
9,2016,7239130.0
10,2016,7948495.0
11,2016,2348018.0
12,2016,2438536.0
1,2017,3800036.0
2,2017,3777735.0
3,2017,5709099.0
4,2017,7837088.0
5,2017,8153353.0
6,2017,7290739.0
7,2017,7153941.0
8,2017,7842999.0
9,2017,8725489.0
10,2017,6899096.0
11,2017,4556537.0
12,2017,4008958.0
1,2018,3766842.0
2,2018,3508933.0
3,2018,4792541.0
4,2018,9514699.0
5,2018,6931330.0
6,2018,6783118.0
7,2018,6517501.0
8,2018,6780946.0
9,2018,6989508.0
10,2018,7428243.0
11,2018,4427552.0
12,2018,3535685.0
1,2019,3650518.0
2,2019,3492400.0
3,2019,4967892.0
4,2019,10823440.0
5,2019,7763028.0
6,2019,6819316.0
7,2019,5870990.0
8,2019,6774275.0
9,2019,6217109.0
10,2019,6915114.0
11,2019,3894836.0
12,2019,3346762.0
