평균기온,평균상대습도,평균운량,월,년도,cloud_amount,sun_amount,이용객 수,불쾌지수
-0.7,50,3.4,1,2014,1,2,3008543.0,76.096
1.9,52,4.0,2,2014,2,1,2908749.0,79.408
7.9,60,3.9,3,2014,1,2,4563720.0,89.488
14.0,60,4.7,4,2014,2,2,8242222.0,93.88
18.9,59,3.2,5,2014,1,3,6551307.0,96.688
23.1,73,6.7,6,2014,3,2,6084170.0,109.792
26.1,74,6.8,7,2014,3,1,6003831.0,112.672
25.2,77,7.1,8,2014,3,1,6298113.0,114.184
22.1,69,4.9,9,2014,2,2,6414526.0,106.19200000000001
15.6,63,3.3,10,2014,1,3,7437783.0,97.192
9.0,61,4.3,11,2014,2,2,4095622.0,91.0
-2.9,56,3.4,12,2014,1,2,2876513.0,78.832
-0.9,56,3.9,1,2015,1,2,2705168.0,80.27199999999999
1.0,59,4.5,2,2015,2,1,2781299.0,83.8
6.3,45,2.8,3,2015,1,3,4314813.0,77.536
13.3,55,5.0,4,2015,2,2,6213826.0,89.776
18.9,53,4.1,5,2015,2,3,7770685.0,92.368
23.6,60,5.6,6,2015,3,3,5371905.0,100.792
25.8,71,7.0,7,2015,3,1,6804488.0,110.29599999999999
26.3,70,5.6,8,2015,3,2,13203727.0,109.936
22.4,56,3.8,9,2015,1,3,8161326.0,97.048
15.5,61,2.8,10,2015,1,3,8699644.0,95.68
8.9,74,6.6,11,2015,3,1,1490229.0,100.28800000000001
1.6,60,4.1,12,2015,2,1,1074235.0,84.952
-3.2,53,4.0,1,2016,2,2,3438959.0,76.45599999999999
0.2,52,3.7,2,2016,1,2,3442621.0,78.184
7.0,51,3.6,3,2016,1,3,5115738.0,82.36
14.1,55,4.8,4,2016,2,2,4747476.0,90.352
19.6,56,4.6,5,2016,2,3,7366536.0,95.032
23.6,63,5.3,6,2016,3,2,7848587.0,102.952
26.2,73,7.2,7,2016,3,1,8228965.0,112.024
28.0,64,4.6,8,2016,2,3,9415349.0,106.84
23.1,65,5.8,9,2016,3,2,7239130.0,104.032
16.1,62,5.3,10,2016,3,2,7948495.0,96.832
6.8,57,4.7,11,2016,2,1,2348018.0,86.536
1.2,59,4.7,12,2016,2,1,2438536.0,83.944
-1.8,55,3.5,1,2017,1,2,3800036.0,78.904
-0.2,54,2.8,2,2017,1,2,3777735.0,79.336
6.3,48,3.9,3,2017,1,3,5709099.0,79.696
13.9,52,4.4,4,2017,2,3,7837088.0,88.048
19.5,52,3.9,5,2017,1,3,8153353.0,92.08
23.3,57,4.7,6,2017,2,3,7290739.0,98.416
26.9,77,7.9,7,2017,3,1,7153941.0,115.40800000000002
25.9,71,7.0,8,2017,3,1,7842999.0,110.368
22.1,61,4.2,9,2017,2,2,8725489.0,100.43199999999999
16.4,56,4.5,10,2017,2,2,6899096.0,92.72800000000001
5.6,54,4.2,11,2017,2,1,4556537.0,83.512
-1.9,56,3.9,12,2017,1,1,4008958.0,79.55199999999999
-4.0,48,4.3,1,2018,2,2,3766842.0,72.28
-1.6,45,3.9,2,2018,1,2,3508933.0,71.848
8.1,59,5.2,3,2018,2,2,4792541.0,88.912
13.0,55,4.7,4,2018,2,2,9514699.0,89.56
18.2,63,5.4,5,2018,3,2,6931330.0,99.064
23.1,63,5.9,6,2018,3,3,6783118.0,102.59199999999998
27.8,68,5.1,7,2018,2,2,6517501.0,109.576
28.8,65,5.8,8,2018,3,2,6780946.0,108.136
21.5,61,5.1,9,2018,2,2,6989508.0,100.0
13.1,59,3.7,10,2018,1,3,7428243.0,92.512
7.8,58,4.0,11,2018,2,1,4427552.0,87.976
-0.6,46,3.8,12,2018,1,2,3535685.0,73.288
-0.9,46,3.1,1,2019,1,2,3650518.0,73.072
1.0,47,4.8,2,2019,2,2,3492400.0,75.16
7.1,51,4.7,3,2019,2,2,4967892.0,82.432
12.1,51,4.9,4,2019,2,2,10823440.0,86.03200000000001
19.4,47,3.8,5,2019,1,3,7763028.0,88.408
22.5,61,5.4,6,2019,3,2,6819316.0,100.72
25.9,69,7.2,7,2019,3,1,5870990.0,108.928
27.2,69,5.6,8,2019,3,3,6774275.0,109.864
22.6,65,6.6,9,2019,3,1,6217109.0,103.672
16.4,62,4.2,10,2019,2,3,6915114.0,97.048
7.6,56,4.1,11,2019,2,2,3894836.0,86.392
1.4,58,4.4,12,2019,2,1,3346762.0,83.368
